ds,y,Volume,Volume_Avg,SMA
2018-01-02,4.929882526397705,355616000,620827720.0,5.105036196708679
2018-01-03,5.254334449768066,914704000,620827720.0,5.105036196708679
2018-01-04,5.282033443450928,583268000,620827720.0,5.105036196708679
2018-01-05,5.326794147491455,580124000,620827720.0,5.105036196708679
2018-01-08,5.490010738372803,881216000,620827720.0,5.105036196708679
2018-01-09,5.488526344299316,497000000,620827720.0,5.105036196708679
2018-01-10,5.531557083129883,582664000,620827720.0,5.105036196708679
2018-01-11,5.541449069976807,406032000,620827720.0,5.105036196708679
2018-01-12,5.514245986938477,359916000,620827720.0,5.105036196708679
2018-01-16,5.443271160125732,702348000,620827720.0,5.105036196708679
2018-01-17,5.55727481842041,538408000,620827720.0,5.105036196708679
2018-01-18,5.550351142883301,408632000,620827720.0,5.105036196708679
2018-01-19,5.690568923950195,609380000,620827720.0,5.105036196708679
2018-01-22,5.779099941253662,550944000,620827720.0,5.105036196708679
2018-01-23,5.908191680908203,475228000,620827720.0,5.105036196708679
2018-01-24,5.831282615661621,579972000,620827720.0,5.105036196708679
2018-01-25,5.844882965087891,409884000,620827720.0,5.105036196708679
2018-01-26,6.017496109008789,516356000,620827720.0,5.105036196708679
2018-01-29,6.104544162750244,455116000,620827720.0,5.105036196708679
2018-01-30,6.002411365509033,570832000,620827720.0,5.105036196708679
2018-01-31,6.078578948974609,478576000,620827720.0,5.105036196708679
2018-02-01,5.947511196136475,519224000,620827720.0,5.105036196708679
2018-02-02,5.774897575378418,718464000,620827720.0,5.105036196708679
2018-02-05,5.284754276275635,1165204000,620827720.0,5.105036196708679
2018-02-06,5.578543186187744,1114800000,620827720.0,5.105036196708679
2018-02-07,5.658172607421875,802932000,620827720.0,5.105036196708679
2018-02-08,5.379220008850098,1144000000,620827720.0,5.105036196708679
2018-02-09,5.739285469055176,1674604000,620827720.0,5.105036196708679
2018-02-12,5.639130115509033,1093172000,620827720.0,5.105036196708679
2018-02-13,5.75288724899292,625524000,620827720.0,5.105036196708679
2018-02-14,5.970263481140137,744988000,620827720.0,5.105036196708679
2018-02-15,6.095890045166016,698900000,620827720.0,5.105036196708679
2018-02-16,6.03010892868042,637656000,620827720.0,5.105036196708679
2018-02-20,6.159693717956543,686240000,620827720.0,5.105036196708679
2018-02-21,5.9724884033203125,892292000,620827720.0,5.105036196708679
2018-02-22,5.992036819458008,534364000,620827720.0,5.105036196708679
2018-02-23,6.085573196411133,415300000,620827720.0,5.105036196708679
2018-02-26,6.101658821105957,469312000,620827720.0,5.105036196708679
2018-02-27,6.088790416717529,455436000,620827720.0,5.105036196708679
2018-02-28,5.988325119018555,523116000,620827720.0,5.105036196708679
2018-03-01,5.746070861816406,1040120000,620827720.0,5.105036196708679
2018-03-02,5.85321569442749,913428000,620827720.0,5.105036196708679
2018-03-05,5.831193923950195,620776000,620827720.0,5.105036196708679
2018-03-06,5.992283821105957,636808000,620827720.0,5.105036196708679
2018-03-07,5.984365940093994,581208000,620827720.0,5.105036196708679
2018-03-08,5.968034267425537,411912000,620827720.0,5.105036196708679
2018-03-09,6.070727348327637,505524000,620827720.0,5.105036196708679
2018-03-12,6.180346965789795,605060000,620827720.0,5.105036196708679
2018-03-13,6.1296210289001465,619772000,620827720.0,5.105036196708679
2018-03-14,6.155107021331787,505496000,620827720.0,5.105036196708679
2018-03-15,6.169955730438232,401952000,620827720.0,5.105036196708679
2018-03-16,6.198163986206055,399456000,620827720.0,5.105036196708679
2018-03-19,5.963580131530762,713772000,620827720.0,5.105036196708679
2018-03-20,6.1758928298950195,554696000,620827720.0,5.105036196708679
2018-03-21,6.150654315948486,438688000,620827720.0,5.105036196708679
2018-03-22,5.984612941741943,551196000,620827720.0,5.105036196708679
2018-03-23,5.764876365661621,735620000,620827720.0,5.105036196708679
2018-03-26,6.0496931076049805,611424000,620827720.0,5.105036196708679
2018-03-27,5.580524444580078,1409000000,620827720.0,5.105036196708679
2018-03-28,5.477336883544922,945904000,620827720.0,5.105036196708679
2018-03-29,5.730728626251221,916628000,620827720.0,5.105036196708679
2018-04-02,5.469913959503174,922092000,620827720.0,5.105036196708679
2018-04-03,5.576318740844727,667432000,620827720.0,5.105036196708679
2018-04-04,5.598341464996338,789168000,620827720.0,5.105036196708679
2018-04-05,5.478080749511719,701240000,620827720.0,5.105036196708679
2018-04-06,5.301647663116455,662988000,620827720.0,5.105036196708679
2018-04-09,5.330351829528809,499524000,620827720.0,5.105036196708679
2018-04-10,5.639665603637695,761676000,620827720.0,5.105036196708679
2018-04-11,5.598341464996338,460244000,620827720.0,5.105036196708679
2018-04-12,5.805212020874023,593920000,620827720.0,5.105036196708679
2018-04-13,5.728501796722412,503036000,620827720.0,5.105036196708679
2018-04-16,5.728254318237305,350792000,620827720.0,5.105036196708679
2018-04-17,5.877962112426758,447224000,620827720.0,5.105036196708679
2018-04-18,5.8490095138549805,391364000,620827720.0,5.105036196708679
2018-04-19,5.667627334594727,471996000,620827720.0,5.105036196708679
2018-04-20,5.659461975097656,386200000,620827720.0,5.105036196708679
2018-04-23,5.539944171905518,427508000,620827720.0,5.105036196708679
2018-04-24,5.473626613616943,414596000,620827720.0,5.105036196708679
2018-04-25,5.361283302307129,588492000,620827720.0,5.105036196708679
2018-04-26,5.5731024742126465,375824000,620827720.0,5.105036196708679
2018-04-27,5.6005682945251465,400848000,620827720.0,5.105036196708679
2018-04-30,5.565184116363525,327844000,620827720.0,5.105036196708679
2018-05-01,5.620613098144531,253788000,620827720.0,5.105036196708679
