ds,y,Volume,Volume_Avg,SMA
2020-01-07,7.412442207336426,44984100,34859104.0,7.209494343996048
2020-01-08,7.412442207336426,45994900,34912225.0,7.206241236925125
2020-01-09,7.420456409454346,51817400,35156700.0,7.202898969650269
2020-01-10,7.412442207336426,39796300,35336223.0,7.199409272670746
2020-01-13,7.4044294357299805,48553700,35570674.0,7.196026937961578
2020-01-14,7.4444966316223145,42935600,35795682.0,7.192599185705185
2020-01-15,7.364362716674805,55923900,36145174.0,7.189134885072708
2020-01-16,7.348334789276123,44310400,36138455.0,7.185867099761963
2020-01-17,7.3403215408325195,41644900,36236022.0,7.182597479820251
2020-01-21,7.38038969039917,49556400,36501342.0,7.179227842092514
2020-01-22,7.3403215408325195,39914800,36549017.0,7.17594002366066
2020-01-23,7.324295520782471,75848700,37087394.0,7.172648537158966
2020-01-24,7.212104320526123,68100900,37447824.0,7.169367760419846
2020-01-27,7.123958587646484,60769300,37792207.0,7.165975812673569
2020-01-28,7.188065528869629,85163400,38369777.0,7.163017119169235
2020-01-29,7.220664978027344,59057400,38594083.0,7.160103520154953
2020-01-30,7.204366683959961,42827800,38730260.0,7.1573311698436735
2020-01-31,7.188065528869629,59813700,38847803.0,7.154772852659225
2020-02-03,7.318460464477539,71405400,38856184.0,7.15292270064354
2020-02-04,7.481457233428955,86196400,39376245.0,7.151425437927246
2020-02-05,6.772429943084717,145792500,40477293.0,7.148355797529221
2020-02-06,6.723530292510986,68823400,40893914.0,7.145054721832276
2020-02-07,6.609433650970459,98256500,41375953.0,7.141450201272964
2020-02-10,6.568686485290527,71834900,41820390.0,7.137489031553269
2020-02-11,6.601284980773926,80164500,42378941.0,7.133518360853195
2020-02-12,6.715381622314453,111536800,43206502.0,7.130160511732101
2020-02-13,6.723530292510986,67648800,43508077.0,7.126859436035156
2020-02-14,6.601284980773926,46359700,43751163.0,7.1233801424503325
2020-02-18,6.568686485290527,65094800,44071186.0,7.120055932998657
2020-02-19,6.519786834716797,69668200,44562765.0,7.116591280698776
2020-02-20,6.544236183166504,52318200,44820384.0,7.113169553279877
2020-02-21,6.430140018463135,58326300,45079052.0,7.10955357670784
2020-02-24,6.16934871673584,110048200,45964434.0,7.105488625764846
2020-02-25,5.8922576904296875,108888300,46657722.0,7.100897040367126
2020-02-26,5.87595796585083,92469500,46901047.0,7.096080156564713
2020-02-27,5.680364608764648,118642400,47679192.0,7.090866565704346
2020-02-28,5.672214508056641,116490700,48565825.0,7.086795252561569
2020-03-02,5.867807865142822,96766000,49240081.0,7.083139102458954
2020-03-03,5.680364608764648,97457800,49903747.0,7.078755980730056
2020-03-04,5.770011901855469,70588100,50440643.0,7.074652336835861
2020-03-05,5.492920398712158,78070900,50940656.0,7.070114333629608
2020-03-06,5.289176940917969,109932200,51698221.0,7.065030064582825
2020-03-09,4.808343410491943,103901700,52489293.0,7.05852224946022
2020-03-10,5.101733684539795,101873600,53210312.0,7.052766370773315
2020-03-11,4.808343410491943,98587100,53924280.0,7.046184740066528
2020-03-12,4.360107421875,89453100,54535199.0,7.038537881374359
2020-03-13,4.5883002281188965,125375300,55364723.0,7.031719871759415
2020-03-16,4.083017349243164,110310900,56131730.0,7.0239523875713346
2020-03-17,4.083017349243164,104233500,56815280.0,7.016701642274857
2020-03-18,3.667379856109619,125954700,57627123.0,7.00833798289299
2020-03-19,3.6429309844970703,126603800,57689209.0,7.000005475282669
2020-03-20,3.528834104537964,129378600,58469259.0,6.991276999115944
2020-03-23,3.2680435180664062,134925000,59422156.0,6.9818227237462995
2020-03-24,4.03411865234375,146192100,60516359.0,6.9739699023962025
2020-03-25,4.392705917358398,198999400,62219500.0,6.966755185723304
2020-03-26,4.278609752655029,138227600,63310535.0,6.959568957686424
2020-03-27,4.229712009429932,106324000,63820226.0,6.95237121284008
2020-03-30,4.0993170738220215,97879700,64331858.0,6.944755209088325
2020-03-31,3.93632173538208,231800800,66274169.0,6.936159619688988
2020-04-01,3.585883140563965,119174500,67070937.0,6.9266510194540025
2020-04-02,3.5532846450805664,90891700,67653450.0,6.917134740948677
