ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,SMA,SMA_lower,SMA_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-02-05,58.863370028265436,137.8956246268241,149.013296828858,58.863370028265436,58.863370028265436,82.87547004048045,82.87547004048045,82.87547004048045,84.97834841981162,84.97834841981162,84.97834841981162,82.87547004048045,82.87547004048045,82.87547004048045,3.0487175713122356,3.0487175713122356,3.0487175713122356,-0.9458391919810584,-0.9458391919810584,-0.9458391919810584,0.0,0.0,0.0,143.84171844807707
2025-02-06,58.91279384717554,138.56155999636516,150.22635707521033,58.91279384717554,58.91279384717554,82.87547004048045,82.87547004048045,82.87547004048045,85.29088469492207,85.29088469492207,85.29088469492207,82.87547004048045,82.87547004048045,82.87547004048045,3.150907722962476,3.150907722962476,3.150907722962476,-0.7354930685208566,-0.7354930685208566,-0.7354930685208566,0.0,0.0,0.0,144.2036785420976
2025-02-07,58.9622176660856,139.0713137897163,150.08219376567885,58.9622176660856,58.9622176660856,82.87547004048045,82.87547004048045,82.87547004048045,85.37732611966479,85.37732611966479,85.37732611966479,82.87547004048045,82.87547004048045,82.87547004048045,3.021748149145834,3.021748149145834,3.021748149145834,-0.5198920699614932,-0.5198920699614932,-0.5198920699614932,0.0,0.0,0.0,144.33954378575038
2025-02-08,59.01164148499567,128.34716320965515,139.44499316477751,59.01164148499567,59.01164148499567,82.87547004048045,82.87547004048045,82.87547004048045,74.94224689125447,74.94224689125447,74.94224689125447,82.87547004048045,82.87547004048045,82.87547004048045,-7.631221369792515,-7.631221369792515,-7.631221369792515,-0.30200177943347273,-0.30200177943347273,-0.30200177943347273,0.0,0.0,0.0,133.95388837625015
2025-02-09,59.06106530390576,128.4253530855357,139.96168474397288,59.06106530390576,59.06106530390576,82.87547004048045,82.87547004048045,82.87547004048045,75.15939321928704,75.15939321928704,75.15939321928704,82.87547004048045,82.87547004048045,82.87547004048045,-7.631226861802199,-7.631226861802199,-7.631226861802199,-0.08484995939121152,-0.08484995939121152,-0.08484995939121152,0.0,0.0,0.0,134.2204585231928
2025-02-10,59.110489122815814,139.5605660927963,150.87747490793473,59.110489122815814,59.110489122815814,82.87547004048045,82.87547004048045,82.87547004048045,86.02989290692595,86.02989290692595,86.02989290692595,82.87547004048045,82.87547004048045,82.87547004048045,3.025877031228931,3.025877031228931,3.025877031228931,0.12854583521657154,0.12854583521657154,0.12854583521657154,0.0,0.0,0.0,145.14038202974177
2025-02-11,59.159912941725885,139.46059575679607,150.88539691069005,59.159912941725885,59.159912941725885,82.87547004048045,82.87547004048045,82.87547004048045,86.2259187023576,86.2259187023576,86.2259187023576,82.87547004048045,82.87547004048045,82.87547004048045,3.0151977569727197,3.0151977569727197,3.0151977569727197,0.33525090490443543,0.33525090490443543,0.33525090490443543,0.0,0.0,0.0,145.38583164408348
2025-02-12,59.20933676063594,139.6837247359581,151.05755172429008,59.20933676063594,59.20933676063594,82.87547004048045,82.87547004048045,82.87547004048045,86.45667198287795,86.45667198287795,86.45667198287795,82.87547004048045,82.87547004048045,82.87547004048045,3.048717571312277,3.048717571312277,3.048717571312277,0.5324843710852186,0.5324843710852186,0.5324843710852186,0.0,0.0,0.0,145.66600874351388
2025-02-13,59.258760579546035,140.45356071184725,151.84166272177146,59.258760579546035,59.258760579546035,82.87547004048045,82.87547004048045,82.87547004048045,86.7440643056302,86.7440643056302,86.7440643056302,82.87547004048045,82.87547004048045,82.87547004048045,3.1509077229611826,3.1509077229611826,3.1509077229611826,0.7176865421885654,0.7176865421885654,0.7176865421885654,0.0,0.0,0.0,146.00282488517624
2025-02-14,59.308184398456106,140.54747747505775,151.55859011054747,59.308184398456106,59.308184398456106,82.87547004048045,82.87547004048045,82.87547004048045,86.78579903399978,86.78579903399978,86.78579903399978,82.87547004048045,82.87547004048045,82.87547004048045,3.0217481491383142,3.0217481491383142,3.0217481491383142,0.8885808443810141,0.8885808443810141,0.8885808443810141,0.0,0.0,0.0,146.0939834324559
2025-02-15,59.35760821736616,130.0698083952324,141.2298648169657,59.35760821736616,59.35760821736616,82.87547004048045,82.87547004048045,82.87547004048045,76.28747728432344,76.28747728432344,76.28747728432344,82.87547004048045,82.87547004048045,82.87547004048045,-7.63122136980532,-7.63122136980532,-7.63122136980532,1.043228613648313,1.043228613648313,1.043228613648313,0.0,0.0,0.0,135.6450855016896
2025-02-16,59.40703203627625,130.40833428454965,141.85601414586023,59.40703203627625,59.40703203627625,82.87547004048045,82.87547004048045,82.87547004048045,76.42431840635999,76.42431840635999,76.42431840635999,82.87547004048045,82.87547004048045,82.87547004048045,-7.6312268618197905,-7.6312268618197905,-7.6312268618197905,1.180075227699316,1.180075227699316,1.180075227699316,0.0,0.0,0.0,135.83135044263622
2025-02-17,59.45645585518632,141.0600304217097,152.2117096662337,59.45645585518632,59.45645585518632,82.87547004048045,82.87547004048045,82.87547004048045,87.19933335378155,87.19933335378155,87.19933335378155,82.87547004048045,82.87547004048045,82.87547004048045,3.0258770312363135,3.0258770312363135,3.0258770312363135,1.297986282064797,1.297986282064797,1.297986282064797,0.0,0.0,0.0,146.65578920896786
