ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,SMA,SMA_lower,SMA_upper,Volume_Avg,Volume_Avg_lower,Volume_Avg_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,yhat_smooth
2025-02-12,27.51838503965955,99.20497197646455,102.86245934418538,27.51838503965955,27.51838503965955,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,73.56162870065798,73.56162870065798,73.56162870065798,69.08159086680466,69.08159086680466,69.08159086680466,5.3323775088411445,5.3323775088411445,5.3323775088411445,-0.8523396749878236,-0.8523396749878236,-0.8523396749878236,0.0,0.0,0.0,101.08001374031753,99.91882638915968
2025-02-13,27.51474854153818,99.09113782790641,102.82708281975316,27.51474854153818,27.51474854153818,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,73.5336225374992,73.5336225374992,73.5336225374992,69.08159086680466,69.08159086680466,69.08159086680466,5.3303810851687015,5.3303810851687015,5.3303810851687015,-0.8783494144741649,-0.8783494144741649,-0.8783494144741649,0.0,0.0,0.0,101.04837107903738,100.18456647427246
2025-02-14,27.51111204341681,99.19694007654687,102.77489533973367,27.51111204341681,27.51111204341681,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,73.49379966642077,73.49379966642077,73.49379966642077,69.08159086680466,69.08159086680466,69.08159086680466,5.32226573222457,5.32226573222457,5.32226573222457,-0.9100569326084577,-0.9100569326084577,-0.9100569326084577,0.0,0.0,0.0,101.00491170983759,100.41345213978235
2025-02-15,27.50747554529544,80.39615819833264,84.21472498239176,27.50747554529544,27.50747554529544,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,54.75020347014127,54.75020347014127,54.75020347014127,69.08159086680466,69.08159086680466,69.08159086680466,-13.38404686652187,-13.38404686652187,-13.38404686652187,-0.947340530141512,-0.947340530141512,-0.947340530141512,0.0,0.0,0.0,82.25767901543671,98.72440064915072
2025-02-16,27.50383904717407,80.29572315697995,83.97354321873554,27.50383904717407,27.50383904717407,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,54.70758104117384,54.70758104117384,54.70758104117384,69.08159086680466,69.08159086680466,69.08159086680466,-13.384045990906728,-13.384045990906728,-13.384045990906728,-0.9899638347240948,-0.9899638347240948,-0.9899638347240948,0.0,0.0,0.0,82.21142008834791,96.99532010783415
2025-02-17,27.500202549052695,99.01982215697443,102.72754277825541,27.500202549052695,27.500202549052695,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,73.42768443661926,73.42768443661926,73.42768443661926,69.08159086680466,69.08159086680466,69.08159086680466,5.383669922574654,5.383669922574654,5.383669922574654,-1.0375763527600537,-1.0375763527600537,-1.0375763527600537,0.0,0.0,0.0,100.92788698567196,97.11019398873395
2025-02-18,27.496566050931325,98.92802820636314,102.76038455715593,27.496566050931325,27.496566050931325,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,73.39127255693502,73.39127255693502,73.39127255693502,69.08159086680466,69.08159086680466,69.08159086680466,5.399398608614612,5.399398608614612,5.399398608614612,-1.0897169184842468,-1.0897169184842468,-1.0897169184842468,0.0,0.0,0.0,100.88783860786634,97.18682703659302
2025-02-19,27.492929552809954,98.97074537837835,102.56989647101028,27.492929552809954,27.492929552809954,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,73.26814837646918,73.26814837646918,73.26814837646918,69.08159086680466,69.08159086680466,69.08159086680466,5.332377508841136,5.332377508841136,5.332377508841136,-1.1458199991766145,-1.1458199991766145,-1.1458199991766145,0.0,0.0,0.0,100.76107792927914,97.21839117296841
2025-02-20,27.489293054688584,98.78302827397258,102.51623354047487,27.489293054688584,27.489293054688584,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,73.20674721882935,73.20674721882935,73.20674721882935,69.08159086680466,69.08159086680466,69.08159086680466,5.330381085181546,5.330381085181546,5.330381085181546,-1.2052247331568462,-1.2052247331568462,-1.2052247331568462,0.0,0.0,0.0,100.69604027351794,97.20462133985706
2025-02-21,27.485656556567214,98.67556291401766,102.5129479082924,27.485656556567214,27.485656556567214,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,73.13667010114102,73.13667010114102,73.13667010114102,69.08159086680466,69.08159086680466,69.08159086680466,5.322265732253167,5.322265732253167,5.322265732253167,-1.2671864979168068,-1.2671864979168068,-1.2671864979168068,0.0,0.0,0.0,100.62232665770824,97.14975660870206
2025-02-22,27.482020058445848,79.91098290645783,83.59939019446637,27.482020058445848,27.482020058445848,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,54.36665326846484,54.36665326846484,54.36665326846484,69.08159086680466,69.08159086680466,69.08159086680466,-13.384046866510879,-13.384046866510879,-13.384046866510879,-1.3308907318289473,-1.3308907318289473,-1.3308907318289473,0.0,0.0,0.0,81.84867332691068,95.22662256736139
2025-02-23,27.478383560324477,79.99515101453196,83.57801495522497,27.478383560324477,27.478383560324477,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,54.30207620940181,54.30207620940181,54.30207620940181,69.08159086680466,69.08159086680466,69.08159086680466,-13.384045990900875,-13.384045990900875,-13.384045990900875,-1.3954686665019687,-1.3954686665019687,-1.3954686665019687,0.0,0.0,0.0,81.78045976972629,93.29983143643028
2025-02-24,27.474747062203107,98.68457097630218,102.47888365949161,27.474747062203107,27.474747062203107,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,73.00524621928645,73.00524621928645,73.00524621928645,69.08159086680466,69.08159086680466,69.08159086680466,5.3836699225743185,5.3836699225743185,5.3836699225743185,-1.4600145700925309,-1.4600145700925309,-1.4600145700925309,0.0,0.0,0.0,100.47999328148956,93.24733959359547
2025-02-25,27.471110564081737,98.74023394042646,102.34280983539969,27.471110564081737,27.471110564081737,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,72.9573854190184,72.9573854190184,72.9573854190184,69.08159086680466,69.08159086680466,69.08159086680466,5.39939860860928,5.39939860860928,5.39939860860928,-1.5236040563955393,-1.5236040563955393,-1.5236040563955393,0.0,0.0,0.0,100.42849598310013,95.06442129036182
2025-02-26,27.467474065960367,98.41220637132598,102.12821968917575,27.467474065960367,27.467474065960367,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,72.82865539388114,72.82865539388114,72.82865539388114,69.08159086680466,69.08159086680466,69.08159086680466,5.332377508841128,5.332377508841128,5.332377508841128,-1.5853129817646583,-1.5853129817646583,-1.5853129817646583,0.0,0.0,0.0,100.2961294598415,96.87289222751117
2025-02-27,27.463837567838997,98.44924893675919,102.07139508224246,27.463837567838997,27.463837567838997,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,72.76773551910375,72.76773551910375,72.76773551910375,69.08159086680466,69.08159086680466,69.08159086680466,5.330381085159439,5.330381085159439,5.330381085159439,-1.6442364328603372,-1.6442364328603372,-1.6442364328603372,0.0,0.0,0.0,100.23157308694275,96.80326083763826
2025-02-28,27.46020106971763,98.27474764697182,102.11629369473319,27.46020106971763,27.46020106971763,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,72.70434929551942,72.70434929551942,72.70434929551942,69.08159086680466,69.08159086680466,69.08159086680466,5.322265732240068,5.322265732240068,5.322265732240068,-1.6995073035252997,-1.6995073035252997,-1.6995073035252997,0.0,0.0,0.0,100.16455036523705,96.73093201337534
2025-03-01,27.45656457159626,79.49920013989708,83.29380873948986,27.45656457159626,27.45656457159626,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,53.94723003134208,53.94723003134208,53.94723003134208,69.08159086680466,69.08159086680466,69.08159086680466,-13.384046866533529,-13.384046866533529,-13.384046866533529,-1.7503139689290532,-1.7503139689290532,-1.7503139689290532,0.0,0.0,0.0,81.40379460293835,94.79520368074125
2025-03-02,27.45292807347489,79.63773007030139,83.26334723582946,27.45292807347489,27.45292807347489,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,53.901628286648716,53.901628286648716,53.901628286648716,69.08159086680466,69.08159086680466,69.08159086680466,-13.38404599087822,-13.38404599087822,-13.38404599087822,-1.7959165892777198,-1.7959165892777198,-1.7959165892777198,0.0,0.0,0.0,81.35455636012361,92.86105528940182
2025-03-03,27.44929157535352,98.30886584727563,101.84615527808454,27.44929157535352,27.44929157535352,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,72.62959917614448,72.62959917614448,72.62959917614448,69.08159086680466,69.08159086680466,69.08159086680466,5.383669922545498,5.383669922545498,5.383669922545498,-1.8356616132056667,-1.8356616132056667,-1.8356616132056667,0.0,0.0,0.0,100.078890751498,92.80671169878079
2025-03-04,27.44565507723215,98.20356289237225,101.99649841613612,27.44565507723215,27.44565507723215,69.469884796892,69.469884796892,69.469884796892,-0.38829393008735863,-0.38829393008735863,-0.38829393008735863,72.6119953740652,72.6119953740652,72.6119953740652,69.08159086680466,69.08159086680466,69.08159086680466,5.399398608623975,5.399398608623975,5.399398608623975,-1.868994101363422,-1.868994101363422,-1.868994101363422,0.0,0.0,0.0,100.05765045129735,94.62760941121945
