ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Volume_Avg,Volume_Avg_lower,Volume_Avg_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-02-05,10.878897980211224,9.648638841093863,12.057549644191099,10.878897980211224,10.878897980211224,0.08562335230441658,0.08562335230441658,0.08562335230441658,-0.03913291365794587,-0.03913291365794587,-0.03913291365794587,0.08562335230441658,0.08562335230441658,0.08562335230441658,-0.042856538904830585,-0.042856538904830585,-0.042856538904830585,-0.08189972705753183,-0.08189972705753183,-0.08189972705753183,0.0,0.0,0.0,10.839765066553278
2025-02-06,10.877608064524209,9.614116680228888,12.058021409361794,10.877608064524209,10.877608064524209,0.08562335230441658,0.08562335230441658,0.08562335230441658,-0.04466134920877495,-0.04466134920877495,-0.04466134920877495,0.08562335230441658,0.08562335230441658,0.08562335230441658,-0.0501685960297227,-0.0501685960297227,-0.0501685960297227,-0.08011610548346883,-0.08011610548346883,-0.08011610548346883,0.0,0.0,0.0,10.832946715315433
2025-02-07,10.876318148837194,9.642795627829626,11.964893536160526,10.876318148837194,10.876318148837194,0.08562335230441658,0.08562335230441658,0.08562335230441658,-0.04623764977047385,-0.04623764977047385,-0.04623764977047385,0.08562335230441658,0.08562335230441658,0.08562335230441658,-0.056428166363660735,-0.056428166363660735,-0.056428166363660735,-0.07543283571122968,-0.07543283571122968,-0.07543283571122968,0.0,0.0,0.0,10.830080499066721
2025-02-08,10.875028233150179,9.897560645719969,12.209195451874026,10.875028233150179,10.875028233150179,0.08562335230441658,0.08562335230441658,0.08562335230441658,0.127513203339025,0.127513203339025,0.127513203339025,0.08562335230441658,0.08562335230441658,0.08562335230441658,0.1101233029371028,0.1101233029371028,0.1101233029371028,-0.06823345190249437,-0.06823345190249437,-0.06823345190249437,0.0,0.0,0.0,11.002541436489203
2025-02-09,10.873738317463163,9.843541236143267,12.133252971228252,10.873738317463163,10.873738317463163,0.08562335230441658,0.08562335230441658,0.08562335230441658,0.13679570393272847,0.13679570393272847,0.13679570393272847,0.08562335230441658,0.08562335230441658,0.08562335230441658,0.11012331675094554,0.11012331675094554,0.11012331675094554,-0.05895096512263362,-0.05895096512263362,-0.05895096512263362,0.0,0.0,0.0,11.010534021395891
2025-02-10,10.872448401776147,9.687976153273732,12.095796444877314,10.872448401776147,10.872448401776147,0.08562335230441658,0.08562335230441658,0.08562335230441658,0.00367583554096844,0.00367583554096844,0.00367583554096844,0.08562335230441658,0.08562335230441658,0.08562335230441658,-0.0338917659800157,-0.0338917659800157,-0.0338917659800157,-0.04805575078343241,-0.04805575078343241,-0.04805575078343241,0.0,0.0,0.0,10.876124237317116
2025-02-11,10.871158486089131,9.67499142734867,12.186193280480323,10.871158486089131,10.871158486089131,0.08562335230441658,0.08562335230441658,0.08562335230441658,0.012678999411105596,0.012678999411105596,0.012678999411105596,0.08562335230441658,0.08562335230441658,0.08562335230441658,-0.03690155241016182,-0.03690155241016182,-0.03690155241016182,-0.03604280048314914,-0.03604280048314914,-0.03604280048314914,0.0,0.0,0.0,10.883837485500237
2025-02-12,10.869868570402117,9.715003005092237,12.095385990016876,10.869868570402117,10.869868570402117,0.08562335230441658,0.08562335230441658,0.08562335230441658,0.019348135265811466,0.019348135265811466,0.019348135265811466,0.08562335230441658,0.08562335230441658,0.08562335230441658,-0.0428565389048435,-0.0428565389048435,-0.0428565389048435,-0.0234186781337616,-0.0234186781337616,-0.0234186781337616,0.0,0.0,0.0,10.889216705667929
2025-02-13,10.868578654715101,9.679878048432077,12.00111833732825,10.868578654715101,10.868578654715101,0.08562335230441658,0.08562335230441658,0.08562335230441658,0.024766234838850144,0.024766234838850144,0.024766234838850144,0.08562335230441658,0.08562335230441658,0.08562335230441658,-0.05016859602972601,-0.05016859602972601,-0.05016859602972601,-0.010688521435840412,-0.010688521435840412,-0.010688521435840412,0.0,0.0,0.0,10.893344889553951
2025-02-14,10.867288739028085,9.67777061880181,12.091608063706785,10.867288739028085,10.867288739028085,0.08562335230441658,0.08562335230441658,0.08562335230441658,0.030851764181642535,0.030851764181642535,0.030851764181642535,0.08562335230441658,0.08562335230441658,0.08562335230441658,-0.05642816636355334,-0.05642816636355334,-0.05642816636355334,0.0016565782407793107,0.0016565782407793107,0.0016565782407793107,0.0,0.0,0.0,10.898140503209728
2025-02-15,10.86599882334107,9.911051079813749,12.278913042696315,10.86599882334107,10.86599882334107,0.08562335230441658,0.08562335230441658,0.08562335230441658,0.2088981565652506,0.2088981565652506,0.2088981565652506,0.08562335230441658,0.08562335230441658,0.08562335230441658,0.11012330293729264,0.11012330293729264,0.11012330293729264,0.013151501323541401,0.013151501323541401,0.013151501323541401,0.0,0.0,0.0,11.07489697990632
2025-02-16,10.864708907654054,9.849192640949,12.25601608631224,10.864708907654054,10.864708907654054,0.08562335230441658,0.08562335230441658,0.08562335230441658,0.2191147087053011,0.2191147087053011,0.2191147087053011,0.08562335230441658,0.08562335230441658,0.08562335230441658,0.11012331675117205,0.11012331675117205,0.11012331675117205,0.02336803964971248,0.02336803964971248,0.02336803964971248,0.0,0.0,0.0,11.083823616359355
