ds,y,Volume
2020-02-07,77.74994659423828,117684000
2020-02-10,78.11923217773438,109348800
2020-02-11,77.64791870117188,94323200
2020-02-12,79.49188995361328,113730400
2020-02-13,78.92581939697266,94747600
2020-02-14,78.94524383544922,80113600
2020-02-18,77.49971771240234,152531200
2020-02-19,78.62211608886719,93984000
2020-02-20,77.81555938720703,100566000
2020-02-21,76.05418395996094,129554000
2020-02-24,72.44158172607422,222195200
2020-02-25,69.98784637451172,230673600
2020-02-26,71.09810638427734,198054800
2020-02-27,66.45054626464844,320605600
2020-02-28,66.41168212890625,426510000
2020-03-02,72.59463500976562,341397200
2020-03-03,70.28910064697266,319475600
2020-03-04,73.54943084716797,219178400
2020-03-05,71.16371154785156,187572800
2020-03-06,70.21864318847656,226176800
2020-03-09,64.66488647460938,286744800
2020-03-10,69.32217407226562,285290000
2020-03-11,66.91456604003906,255598800
2020-03-12,60.30644226074219,418474000
2020-03-13,67.53164672851562,370732000
2020-03-16,58.84391403198242,322423600
2020-03-17,61.4312858581543,324056000
2020-03-18,59.927452087402344,300233600
2020-03-19,59.468292236328125,271857200
2020-03-20,55.69290542602539,401693200
2020-03-23,54.5097541809082,336752800
2020-03-24,59.97846984863281,287531200
2020-03-25,59.6480712890625,303602000
2020-03-26,62.78691482543945,252087200
2020-03-27,60.18740463256836,204216800
2020-03-30,61.905025482177734,167976400
2020-03-31,61.7786979675293,197002000
2020-04-01,58.52809143066406,176218400
2020-04-02,59.504722595214844,165934000
2020-04-03,58.649559020996094,129880000
2020-04-06,63.766014099121094,201820400
2020-04-07,63.02744674682617,202887200
2020-04-08,64.64058685302734,168895200
2020-04-09,65.1070556640625,161834800
2020-04-13,66.38494873046875,131022800
2020-04-14,69.73758697509766,194994800
2020-04-15,69.10108184814453,131154400
2020-04-16,69.65013885498047,157125200
2020-04-17,68.70509338378906,215250000
2020-04-20,67.27897644042969,130015200
2020-04-21,65.19937133789062,180991600
2020-04-22,67.07734680175781,116862400
2020-04-23,66.81739044189453,124814400
2020-04-24,68.74637603759766,126161200
2020-04-27,68.79497528076172,117087600
2020-04-28,67.67987060546875,112004800
2020-04-29,69.90281677246094,137280800
2020-04-30,71.37747955322266,183064000
2020-05-01,70.22835540771484,240616800
2020-05-04,71.22198486328125,133568000
2020-05-05,72.29093933105469,147751200
2020-05-06,73.03680419921875,142333600
2020-05-07,73.7923583984375,115215200
2020-05-08,75.54875946044922,133838400
2020-05-11,76.73754119873047,145946400
2020-05-12,75.8605728149414,162301200
2020-05-13,74.9446029663086,200622400
2020-05-14,75.40502166748047,158929200
2020-05-15,74.95924377441406,166348400
2020-05-18,76.72535705566406,135178400
2020-05-19,76.2820053100586,101729600
2020-05-20,77.76555633544922,111504800
2020-05-21,77.18577575683594,102688800
2020-05-22,77.68272399902344,81803200
2020-05-26,77.15653228759766,125522000
2020-05-27,77.49269104003906,112945200
2020-05-28,77.52680206298828,133560800
2020-05-29,77.45130157470703,153532400
2020-06-01,78.4037857055664,80791200
2020-06-02,78.7667465209961,87642800
2020-06-03,79.20035552978516,104491200
2020-06-04,78.5182876586914,87560400
2020-06-05,80.75456237792969,137250400
2020-06-08,81.23202514648438,95654400
2020-06-09,83.79718017578125,147712400
2020-06-10,85.95306396484375,166651600
2020-06-11,81.82640838623047,201662400
2020-06-12,82.5328369140625,200146000
2020-06-15,83.55355072021484,138808800
2020-06-16,85.76790618896484,165428800
2020-06-17,85.64854431152344,114406400
2020-06-18,85.68267059326172,96820400
2020-06-19,85.19300079345703,264476000
2020-06-22,87.42195892333984,135445200
2020-06-23,89.28799438476562,212155600
2020-06-24,87.71187591552734,192623200
2020-06-25,88.87630462646484,137522400
2020-06-26,86.1455078125,205256800
2020-06-29,88.13086700439453,130646000
2020-06-30,88.86654663085938,140223200
2020-07-01,88.69845581054688,110737200
2020-07-02,88.69845581054688,114041600
2020-07-06,91.07115173339844,118655600
2020-07-07,90.78858184814453,112424400
2020-07-08,92.90306091308594,117092000
2020-07-09,93.30258178710938,125642800
2020-07-10,93.4657974243164,90257200
2020-07-13,93.03460693359375,191649200
2020-07-14,94.57418823242188,170989200
2020-07-15,95.2245864868164,153198000
2020-07-16,94.0528793334961,110577600
2020-07-17,93.86286163330078,92186800
2020-07-20,95.84090423583984,90318000
2020-07-21,94.51815795898438,103433200
2020-07-22,94.78369140625,89001600
2020-07-23,90.469482421875,197004400
2020-07-24,90.24535369873047,185438800
2020-07-27,92.3841781616211,121214000
2020-07-28,90.86654663085938,103625600
2020-07-29,92.60830688476562,90329200
2020-07-30,93.72888946533203,158130000
2020-07-31,103.5412368774414,374336800
2020-08-03,106.15020751953125,308151200
2020-08-04,106.85913848876953,173071600
2020-08-05,107.24645233154297,121776800
2020-08-06,110.98818969726562,202428800
2020-08-07,108.46477508544922,198045600
2020-08-10,110.04130554199219,212403600
2020-08-11,106.76866912841797,187902400
2020-08-12,110.31706237792969,165598000
2020-08-13,112.2694320678711,210082000
2020-08-14,112.1693344116211,165565200
2020-08-17,111.87649536132812,119561600
2020-08-18,112.80874633789062,105633600
2020-08-19,112.9502944946289,145538000
2020-08-20,115.45661163330078,126907200
2020-08-21,121.4063949584961,338054800
2020-08-24,122.85843658447266,345937600
2020-08-25,121.85052490234375,211495600
2020-08-26,123.50758361816406,163022400
2020-08-27,122.03112030029297,155552400
2020-08-28,121.83343505859375,187630000
2020-08-31,125.965087890625,225702700
2020-09-01,130.9825897216797,151948100
2020-09-02,128.26882934570312,200119000
2020-09-03,117.99954223632812,257599600
2020-09-04,118.07763671875,332607200
2020-09-08,110.131591796875,231366600
2020-09-09,114.52435302734375,176940500
2020-09-10,110.7856216430664,182274400
2020-09-11,109.33113098144531,180860300
2020-09-14,112.611083984375,140150100
2020-09-15,112.78678894042969,184642000
2020-09-16,109.45803833007812,154679000
2020-09-17,107.71068572998047,178011000
2020-09-18,104.29410552978516,287104900
2020-09-21,107.45687866210938,195713800
2020-09-22,109.1456527709961,183055400
2020-09-23,104.56742095947266,150718700
2020-09-24,105.64120483398438,167743300
2020-09-25,109.6044692993164,149981400
2020-09-28,112.22058868408203,137672400
2020-09-29,111.371337890625,99382200
2020-09-30,113.05033874511719,142675200
