ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,SMA,SMA_lower,SMA_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-02-05,9.494249714153396,9.076631639696302,11.34367949855814,9.494249714153396,9.494249714153396,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.6543053225039872,0.6543053225039872,0.6543053225039872,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.07714668154874574,0.07714668154874574,0.07714668154874574,0.011904054263025734,0.011904054263025734,0.011904054263025734,0.0,0.0,0.0,10.148555036657383
2025-02-06,9.493530504998077,8.990017447364345,11.24545673182367,9.493530504998077,9.493530504998077,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.6398595103769438,0.6398595103769438,0.6398595103769438,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.06587066609143485,0.06587066609143485,0.06587066609143485,0.008734257593293212,0.008734257593293212,0.008734257593293212,0.0,0.0,0.0,10.13339001537502
2025-02-07,9.492811295842754,9.04241720454402,11.224329970767698,9.492811295842754,9.492811295842754,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.6322866797471655,0.6322866797471655,0.6322866797471655,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.05932258755201757,0.05932258755201757,0.05932258755201757,0.007709505502932135,0.007709505502932135,0.007709505502932135,0.0,0.0,0.0,10.12509797558992
2025-02-08,9.492092086687434,8.807379798407963,10.9664925755833,9.492092086687434,9.492092086687434,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.3954022519384674,0.3954022519384674,0.3954022519384674,0.5652545866922157,0.5652545866922157,0.5652545866922157,-0.17830098014224074,-0.17830098014224074,-0.17830098014224074,0.008448645388492375,0.008448645388492375,0.008448645388492375,0.0,0.0,0.0,9.8874943386259
2025-02-09,9.491372877532113,8.788691867472746,11.042652004122642,9.491372877532113,9.491372877532113,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.3974825675979553,0.3974825675979553,0.3974825675979553,0.5652545866922157,0.5652545866922157,0.5652545866922157,-0.17830106964490233,-0.17830106964490233,-0.17830106964490233,0.010529050550641962,0.010529050550641962,0.010529050550641962,0.0,0.0,0.0,9.888855445130067
2025-02-10,9.49065366837679,9.03080813610213,11.312370998366399,9.49065366837679,9.49065366837679,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.6532170917550602,0.6532170917550602,0.6532170917550602,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.07446356422191959,0.07446356422191959,0.07446356422191959,0.013498940840924824,0.013498940840924824,0.013498940840924824,0.0,0.0,0.0,10.14387076013185
2025-02-11,9.48993445922147,8.994102639943723,11.297789863323512,9.48993445922147,9.48993445922147,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.6619434133863391,0.6619434133863391,0.6619434133863391,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.07979855037368752,0.07979855037368752,0.07979855037368752,0.016890276320435854,0.016890276320435854,0.016890276320435854,0.0,0.0,0.0,10.151877872607809
2025-02-12,9.489215250066149,9.092412677434812,11.303436907800393,9.489215250066149,9.489215250066149,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.6626331466144761,0.6626331466144761,0.6626331466144761,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.07714668154873552,0.07714668154873552,0.07714668154873552,0.020231878373524873,0.020231878373524873,0.020231878373524873,0.0,0.0,0.0,10.151848396680625
2025-02-13,9.488496040910828,9.074534506912146,11.256239846560165,9.488496040910828,9.488496040910828,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.6541876836663928,0.6541876836663928,0.6541876836663928,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.06587066609139026,0.06587066609139026,0.06587066609139026,0.023062430882786818,0.023062430882786818,0.023062430882786818,0.0,0.0,0.0,10.142683724577221
2025-02-14,9.487776831755506,8.986110891395311,11.2895677925499,9.487776831755506,9.487776831755506,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.6495201958146305,0.6495201958146305,0.6495201958146305,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.05932258755184575,0.05932258755184575,0.05932258755184575,0.024943021570569015,0.024943021570569015,0.024943021570569015,0.0,0.0,0.0,10.137297027570137
2025-02-15,9.487057622600185,8.853946924795254,11.109673679216263,9.487057622600185,9.487057622600185,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.412422506696777,0.412422506696777,0.412422506696777,0.5652545866922157,0.5652545866922157,0.5652545866922157,-0.1783009801425358,-0.1783009801425358,-0.1783009801425358,0.02546890014709703,0.02546890014709703,0.02546890014709703,0.0,0.0,0.0,9.899480129296961
2025-02-16,9.486338413444862,8.78658787580536,10.938539731386419,9.486338413444862,9.486338413444862,0.5652545866922157,0.5652545866922157,0.5652545866922157,0.41123367200187105,0.41123367200187105,0.41123367200187105,0.5652545866922157,0.5652545866922157,0.5652545866922157,-0.17830106964531278,-0.17830106964531278,-0.17830106964531278,0.02428015495496803,0.02428015495496803,0.02428015495496803,0.0,0.0,0.0,9.897572085446733
