ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,SMA,SMA_lower,SMA_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,yhat_smooth
2025-05-28,194.10362792029704,235.5207253484415,258.54616235963755,189.39937808907385,199.4684751559847,51.397210018320266,51.397210018320266,51.397210018320266,52.5178974075235,52.5178974075235,52.5178974075235,51.397210018320266,51.397210018320266,51.397210018320266,6.665145292528039,6.665145292528039,6.665145292528039,-5.544457903324811,-5.544457903324811,-5.544457903324811,0.0,0.0,0.0,246.62152532782054,241.31340558933834
2025-05-29,194.18900356553382,235.08479585253428,257.5352952961857,189.415400302016,199.60550650824797,51.397210018320266,51.397210018320266,51.397210018320266,52.525921890144666,52.525921890144666,52.525921890144666,51.397210018320266,51.397210018320266,51.397210018320266,6.560569660332813,6.560569660332813,6.560569660332813,-5.431857788508423,-5.431857788508423,-5.431857788508423,0.0,0.0,0.0,246.7149254556785,241.4292993118071
2025-05-30,194.27437921077058,237.10697849757338,258.2514953339445,189.41782831861434,199.74089793792675,51.397210018320266,51.397210018320266,51.397210018320266,52.66405496094616,52.66405496094616,52.66405496094616,51.397210018320266,51.397210018320266,51.397210018320266,6.572985794287406,6.572985794287406,6.572985794287406,-5.306140851661519,-5.306140851661519,-5.306140851661519,0.0,0.0,0.0,246.93843417171672,241.56071823332937
2025-05-31,194.35975485600736,212.70034503920095,235.90393099969708,189.43161408004164,199.87628936760555,51.397210018320266,51.397210018320266,51.397210018320266,29.57648124649572,29.57648124649572,29.57648124649572,51.397210018320266,51.397210018320266,51.397210018320266,-16.652647955088558,-16.652647955088558,-16.652647955088558,-5.168080816735993,-5.168080816735993,-5.168080816735993,0.0,0.0,0.0,223.93623610250307,239.39142111281913
2025-06-01,194.44513050124417,212.7403747665098,235.71260812921275,189.3924144552895,200.0116807972844,51.397210018320266,51.397210018320266,51.397210018320266,29.72597636684949,29.72597636684949,29.72597636684949,51.397210018320266,51.397210018320266,51.397210018320266,-16.65266027440644,-16.65266027440644,-16.65266027440644,-5.018573377064341,-5.018573377064341,-5.018573377064341,0.0,0.0,0.0,224.17110686809366,237.24602069579805
2025-06-02,194.5305061464809,236.4203887000137,258.74688238941377,189.372701307179,200.1779821433639,51.397210018320266,51.397210018320266,51.397210018320266,53.29657838667038,53.29657838667038,53.29657838667038,51.397210018320266,51.397210018320266,51.397210018320266,6.757967928617855,6.757967928617855,6.757967928617855,-4.858599560267736,-4.858599560267736,-4.858599560267736,0.0,0.0,0.0,247.82708453315126,237.45363201932977
2025-06-03,194.61588179171764,237.25905781055405,259.55519459832163,189.3852925321683,200.34931775369046,51.397210018320266,51.397210018320266,51.397210018320266,53.45666252519518,53.45666252519518,53.45666252519518,51.397210018320266,51.397210018320266,51.397210018320266,6.748639553804511,6.748639553804511,6.748639553804511,-4.689187046929605,-4.689187046929605,-4.689187046929605,0.0,0.0,0.0,248.07254431691283,239.99564028736086
2025-06-04,194.70125743695442,237.5866866910922,260.1668575466793,189.40418314865585,200.56677494080023,51.397210018320266,51.397210018320266,51.397210018320266,53.5509846038028,53.5509846038028,53.5509846038028,51.397210018320266,51.397210018320266,51.397210018320266,6.6651452925284635,6.6651452925284635,6.6651452925284635,-4.511370707045927,-4.511370707045927,-4.511370707045927,0.0,0.0,0.0,248.2522420407572,242.541491376335
2025-06-05,194.78663308219123,236.41907332220757,259.679746837552,189.42635099864816,200.78421480884012,51.397210018320266,51.397210018320266,51.397210018320266,53.63162602973616,53.63162602973616,53.63162602973616,51.397210018320266,51.397210018320266,51.397210018320266,6.560569660339445,6.560569660339445,6.560569660339445,-4.326153648923551,-4.326153648923551,-4.326153648923551,0.0,0.0,0.0,248.4182591119274,242.74731369411148
2025-06-06,194.87200872742798,237.99797172750976,259.3868317129801,189.44851884864042,201.00165467687992,51.397210018320266,51.397210018320266,51.397210018320266,53.835725745570336,53.835725745570336,53.835725745570336,51.397210018320266,51.397210018320266,51.397210018320266,6.572985794288079,6.572985794288079,6.572985794288079,-4.13447006703801,-4.13447006703801,-4.13447006703801,0.0,0.0,0.0,248.7077344729983,242.96600924015598
2025-06-07,194.95738437266473,214.1783902132218,237.08742136434577,189.4706866986327,201.1520655615234,51.397210018320266,51.397210018320266,51.397210018320266,30.807410934814797,30.807410934814797,30.807410934814797,51.397210018320266,51.397210018320266,51.397210018320266,-16.652647955116844,-16.652647955116844,-16.652647955116844,-3.937151128388629,-3.937151128388629,-3.937151128388629,0.0,0.0,0.0,225.76479530747952,240.88033623812186
2025-06-08,195.04276001790154,214.93051687515307,238.07037883023634,189.47684507905538,201.29737373862855,51.397210018320266,51.397210018320266,51.397210018320266,31.009654691822522,31.009654691822522,31.009654691822522,51.397210018320266,51.397210018320266,51.397210018320266,-16.65266027439917,-16.65266027439917,-16.65266027439917,-3.7348950520985738,-3.7348950520985738,-3.7348950520985738,0.0,0.0,0.0,226.05241470972408,238.81408516352639
2025-06-09,195.1281356631383,238.26384028866178,261.7547029358273,189.4352767705307,201.48083181026146,51.397210018320266,51.397210018320266,51.397210018320266,54.626935530337114,54.626935530337114,54.626935530337114,51.397210018320266,51.397210018320266,51.397210018320266,6.757967928617406,6.757967928617406,6.757967928617406,-3.5282424166005604,-3.5282424166005604,-3.5282424166005604,0.0,0.0,0.0,249.7550711934754,239.09574886570226
2025-06-10,195.21351130837505,238.98327621214617,262.550925947787,189.39788289527516,201.7224630897505,51.397210018320266,51.397210018320266,51.397210018320266,54.82829199620081,54.82829199620081,54.82829199620081,51.397210018320266,51.397210018320266,51.397210018320266,6.748639553807137,6.748639553807137,6.748639553807137,-3.317557575926592,-3.317557575926592,-3.317557575926592,0.0,0.0,0.0,250.04180330457586,241.70630558590952
2025-06-11,195.29888695361183,239.2033214637045,262.6520628420891,189.3706197642345,201.8975324614041,51.397210018320266,51.397210018320266,51.397210018320266,54.959338425303734,54.959338425303734,54.959338425303734,51.397210018320266,51.397210018320266,51.397210018320266,6.665145292528333,6.665145292528333,6.665145292528333,-3.103016885544872,-3.103016885544872,-3.103016885544872,0.0,0.0,0.0,250.25822537891557,244.31501743699172
2025-06-12,195.3842625988486,239.04256136760193,263.22289932319273,189.40581549070606,202.0496822059542,51.397210018320266,51.397210018320266,51.397210018320266,55.073175444808726,55.073175444808726,55.073175444808726,51.397210018320266,51.397210018320266,51.397210018320266,6.560569660336583,6.560569660336583,6.560569660336583,-2.8846042338481266,-2.8846042338481266,-2.8846042338481266,0.0,0.0,0.0,250.45743804365733,244.57805278804236
2025-06-13,195.46963824408536,238.95288610731276,262.57137331065917,189.44239946416664,202.19450944065463,51.397210018320266,51.397210018320266,51.397210018320266,55.308081659000074,55.308081659000074,55.308081659000074,51.397210018320266,51.397210018320266,51.397210018320266,6.572985794271773,6.572985794271773,6.572985794271773,-2.6621141535919737,-2.6621141535919737,-2.6621141535919737,0.0,0.0,0.0,250.77771990308543,244.8485703466596
2025-06-14,195.5550138893221,216.23272733189972,239.56627972382307,189.44921502464058,202.33933667535507,51.397210018320266,51.397210018320266,51.397210018320266,32.30939950869555,32.30939950869555,32.30939950869555,51.397210018320266,51.397210018320266,51.397210018320266,-16.65264795510293,-16.65264795510293,-16.65264795510293,-2.4351625545217894,-2.4351625545217894,-2.4351625545217894,0.0,0.0,0.0,227.86441339801766,242.80978748238562
2025-06-15,195.64038953455892,217.3903784116169,239.74710148649066,189.47021229386203,202.51305262301202,51.397210018320266,51.397210018320266,51.397210018320266,32.54134486299825,32.54134486299825,32.54134486299825,51.397210018320266,51.397210018320266,51.397210018320266,-16.65266027445828,-16.65266027445828,-16.65266027445828,-2.203204880863738,-2.203204880863738,-2.203204880863738,0.0,0.0,0.0,228.18173439755716,240.7861350109486
2025-06-16,195.72576517979567,240.6290916899191,263.33775191972217,189.46157956137236,202.71056127183505,51.397210018320266,51.397210018320266,51.397210018320266,56.18961668483215,56.18961668483215,56.18961668483215,51.397210018320266,51.397210018320266,51.397210018320266,6.757967928581534,6.757967928581534,6.757967928581534,-1.9655612620696505,-1.9655612620696505,-1.9655612620696505,0.0,0.0,0.0,251.91538186462782,241.10689975011155
2025-06-17,195.81114082503242,240.9656938607696,264.16612825633604,189.47753452649934,202.90806992065814,51.397210018320266,51.397210018320266,51.397210018320266,56.424401572926804,56.424401572926804,56.424401572926804,51.397210018320266,51.397210018320266,51.397210018320266,6.7486395538097534,6.7486395538097534,6.7486395538097534,-1.721447999203221,-1.721447999203221,-1.721447999203221,0.0,0.0,0.0,252.23554239795922,243.75397445915956
2025-06-18,195.89651647026923,241.48800521448436,264.1956755833435,189.46358576800498,203.19199006170666,51.397210018320266,51.397210018320266,51.397210018320266,56.592340791654586,56.592340791654586,56.592340791654586,51.397210018320266,51.397210018320266,51.397210018320266,6.665145292528332,6.665145292528332,6.665145292528332,-1.4700145191940193,-1.4700145191940193,-1.4700145191940193,0.0,0.0,0.0,252.4888572619238,246.39761871437955
2025-06-19,195.98189211550599,240.54615454828718,265.1210679299937,189.45761944171332,203.37782038510076,51.397210018320266,51.397210018320266,51.397210018320266,56.7473949373829,56.7473949373829,56.7473949373829,51.397210018320266,51.397210018320266,51.397210018320266,6.560569660343217,6.560569660343217,6.560569660343217,-1.2103847412805848,-1.2103847412805848,-1.2103847412805848,0.0,0.0,0.0,252.72928705288888,246.6950403003209
