ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,SMA_50,SMA_50_lower,SMA_50_upper,Volume,Volume_lower,Volume_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-06-23,149.93324600620423,241.8441291195961,261.27168977116617,147.1113341949303,152.48556595294733,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,101.97966886107065,101.97966886107065,101.97966886107065,89.05144866557738,89.05144866557738,89.05144866557738,10.68260699731388,10.68260699731388,10.68260699731388,2.2456131981793837,2.2456131981793837,2.2456131981793837,0.0,0.0,0.0,251.91291486727488
2025-06-24,149.97297768431795,243.01193153760994,261.53495063852625,147.1220347885024,152.57009997871594,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,102.13530483489072,102.13530483489072,102.13530483489072,89.05144866557738,89.05144866557738,89.05144866557738,10.634155954013954,10.634155954013954,10.634155954013954,2.4497002152993814,2.4497002152993814,2.4497002152993814,0.0,0.0,0.0,252.10828251920867
2025-06-25,150.01270936243165,243.59869142928133,261.69349440703803,147.1327353820745,152.65322323703617,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,102.22648390580844,102.22648390580844,102.22648390580844,89.05144866557738,89.05144866557738,89.05144866557738,10.51527104417947,10.51527104417947,10.51527104417947,2.659764196051592,2.659764196051592,2.659764196051592,0.0,0.0,0.0,252.2391932682401
2025-06-26,150.05244104054535,242.74308109499182,260.8815439021597,147.1853709441501,152.7315892037598,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,102.36915244760404,102.36915244760404,102.36915244760404,89.05144866557738,89.05144866557738,89.05144866557738,10.441561993107863,10.441561993107863,10.441561993107863,2.87614178891878,2.87614178891878,2.87614178891878,0.0,0.0,0.0,252.42159348814937
2025-06-27,150.09217271865907,243.65557624999977,262.4681164463682,147.19032975283426,152.81932479383525,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,102.77915463376205,102.77915463376205,102.77915463376205,89.05144866557738,89.05144866557738,89.05144866557738,10.628780012040407,10.628780012040407,10.628780012040407,3.09892595614425,3.09892595614425,3.09892595614425,0.0,0.0,0.0,252.87132735242113
2025-06-28,150.13190439677277,206.9239271006633,224.8678415172769,147.19301735734334,152.9070603839107,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,65.9281998017903,65.9281998017903,65.9281998017903,89.05144866557738,89.05144866557738,89.05144866557738,-26.451185812414373,-26.451185812414373,-26.451185812414373,3.3279369486272934,3.3279369486272934,3.3279369486272934,0.0,0.0,0.0,216.06010419856307
2025-06-29,150.1716360748865,207.08261187531602,225.04701486347207,147.19395531919363,152.99479597398616,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,66.16295958674397,66.16295958674397,66.16295958674397,89.05144866557738,89.05144866557738,89.05144866557738,-26.451190188299865,-26.451190188299865,-26.451190188299865,3.562701109466441,3.562701109466441,3.562701109466441,0.0,0.0,0.0,216.33459566163046
2025-06-30,150.21136775300016,243.95667320341383,262.8550838206093,147.19862206726896,153.07696864770364,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,103.53649401429963,103.53649401429963,103.53649401429963,89.05144866557738,89.05144866557738,89.05144866557738,10.682606997339935,10.682606997339935,10.682606997339935,3.8024383513823072,3.8024383513823072,3.8024383513823072,0.0,0.0,0.0,253.7478617672998
2025-07-01,150.2510994311139,244.99657673508833,263.53047018102393,147.20088521094056,153.14266899334396,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,103.73166353731558,103.73166353731558,103.73166353731558,89.05144866557738,89.05144866557738,89.05144866557738,10.634155954058231,10.634155954058231,10.634155954058231,4.046058917679969,4.046058917679969,4.046058917679969,0.0,0.0,0.0,253.98276296842948
2025-07-02,150.29083110922758,245.02301103143466,263.9858635304756,147.21893370490156,153.2313770125723,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,103.85888949029932,103.85888949029932,103.85888949029932,89.05144866557738,89.05144866557738,89.05144866557738,10.515271044179302,10.515271044179302,10.515271044179302,4.292169780542633,4.292169780542633,4.292169780542633,0.0,0.0,0.0,254.14972059952692
