ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Rolling_Volume_10,Rolling_Volume_10_lower,Rolling_Volume_10_upper,SMA_50,SMA_50_lower,SMA_50_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-02-05,146.0523709380805,236.05363291006384,252.80842749158043,146.0523709380805,146.0523709380805,1.2633122400655474,1.2633122400655474,1.2633122400655474,86.08208259867553,86.08208259867553,86.08208259867553,98.29215642435643,98.29215642435643,98.29215642435643,87.34539483874109,87.34539483874109,87.34539483874109,10.400562105907731,10.400562105907731,10.400562105907731,0.5461994797076126,0.5461994797076126,0.5461994797076126,0.0,0.0,0.0,244.3445273624369
2025-02-06,146.09464179374274,235.64785264647963,253.10713348372954,146.09464179374274,146.09464179374274,1.2633122400655474,1.2633122400655474,1.2633122400655474,86.08208259867553,86.08208259867553,86.08208259867553,98.25590083421199,98.25590083421199,98.25590083421199,87.34539483874109,87.34539483874109,87.34539483874109,10.284699487782461,10.284699487782461,10.284699487782461,0.6258065076884437,0.6258065076884437,0.6258065076884437,0.0,0.0,0.0,244.35054262795472
2025-02-07,146.13691264940496,236.17712090140333,253.04588210389255,146.13691264940496,146.13691264940496,1.2633122400655474,1.2633122400655474,1.2633122400655474,86.08208259867553,86.08208259867553,86.08208259867553,98.29630740867829,98.29630740867829,98.29630740867829,87.34539483874109,87.34539483874109,87.34539483874109,10.287890729872604,10.287890729872604,10.287890729872604,0.6630218400646039,0.6630218400646039,0.6630218400646039,0.0,0.0,0.0,244.43322005808324
2025-02-08,146.17918350506716,199.76273478056558,217.1224468478136,146.17918350506716,146.17918350506716,1.2633122400655474,1.2633122400655474,1.2633122400655474,86.08208259867553,86.08208259867553,86.08208259867553,62.028869704412664,62.028869704412664,62.028869704412664,87.34539483874109,87.34539483874109,87.34539483874109,-25.972378772368888,-25.972378772368888,-25.972378772368888,0.6558536380404724,0.6558536380404724,0.6558536380404724,0.0,0.0,0.0,208.20805320947983
2025-02-09,146.22145436072935,199.01791135199448,216.40080360690862,146.22145436072935,146.22145436072935,1.2633122400655474,1.2633122400655474,1.2633122400655474,86.08208259867553,86.08208259867553,86.08208259867553,61.97605719722352,61.97605719722352,61.97605719722352,87.34539483874109,87.34539483874109,87.34539483874109,-25.97238721073264,-25.97238721073264,-25.97238721073264,0.6030495692150746,0.6030495692150746,0.6030495692150746,0.0,0.0,0.0,208.19751155795288
2025-02-10,146.26372521639158,235.73644101032664,253.55389135328613,146.26372521639158,146.26372521639158,1.2633122400655474,1.2633122400655474,1.2633122400655474,86.08208259867553,86.08208259867553,86.08208259867553,98.3669431905109,98.3669431905109,98.3669431905109,87.34539483874109,87.34539483874109,87.34539483874109,10.517426291442076,10.517426291442076,10.517426291442076,0.5041220603277436,0.5041220603277436,0.5041220603277436,0.0,0.0,0.0,244.6306684069025
2025-02-11,146.30599607205377,235.8970316114505,253.1496496900506,146.30599607205377,146.30599607205377,1.2633122400655474,1.2633122400655474,1.2633122400655474,86.08208259867553,86.08208259867553,86.08208259867553,98.15894224339769,98.15894224339769,98.15894224339769,87.34539483874109,87.34539483874109,87.34539483874109,10.454187368190713,10.454187368190713,10.454187368190713,0.35936003646589765,0.35936003646589765,0.35936003646589765,0.0,0.0,0.0,244.46493831545146
2025-02-12,146.34826692771597,235.64441484198326,253.0203082623164,146.34826692771597,146.34826692771597,1.2633122400655474,1.2633122400655474,1.2633122400655474,86.08208259867553,86.08208259867553,86.08208259867553,97.91578377175024,97.91578377175024,97.91578377175024,87.34539483874109,87.34539483874109,87.34539483874109,10.400562105907593,10.400562105907593,10.400562105907593,0.16982682710156277,0.16982682710156277,0.16982682710156277,0.0,0.0,0.0,244.26405069946622
2025-02-13,146.3905377833782,235.40233781404933,252.37886330335044,146.3905377833782,146.3905377833782,1.2633122400655474,1.2633122400655474,1.2633122400655474,86.08208259867553,86.08208259867553,86.08208259867553,97.56743850742775,97.56743850742775,97.56743850742775,87.34539483874109,87.34539483874109,87.34539483874109,10.284699487777974,10.284699487777974,10.284699487777974,-0.06265581909130884,-0.06265581909130884,-0.06265581909130884,0.0,0.0,0.0,243.95797629080596
2025-02-14,146.43280863904042,235.4043389143841,252.51630743593503,146.43280863904042,146.43280863904042,1.2633122400655474,1.2633122400655474,1.2633122400655474,86.08208259867553,86.08208259867553,86.08208259867553,97.29774816556575,97.29774816556575,97.29774816556575,87.34539483874109,87.34539483874109,87.34539483874109,10.287890729847122,10.287890729847122,10.287890729847122,-0.3355374030224562,-0.3355374030224562,-0.3355374030224562,0.0,0.0,0.0,243.73055680460618
2025-02-15,146.4750794947026,198.62310880484645,215.70304028709427,146.4750794947026,146.4750794947026,1.2633122400655474,1.2633122400655474,1.2633122400655474,86.08208259867553,86.08208259867553,86.08208259867553,60.72743451095019,60.72743451095019,60.72743451095019,87.34539483874109,87.34539483874109,87.34539483874109,-25.972378772413055,-25.972378772413055,-25.972378772413055,-0.6455815553778395,-0.6455815553778395,-0.6455815553778395,0.0,0.0,0.0,207.2025140056528
2025-02-16,146.51735035036486,198.63765983869723,215.6154030722324,146.51735035036486,146.51735035036486,1.2633122400655474,1.2633122400655474,1.2633122400655474,86.08208259867553,86.08208259867553,86.08208259867553,60.38408622991665,60.38408622991665,60.38408622991665,87.34539483874109,87.34539483874109,87.34539483874109,-25.97238721079195,-25.97238721079195,-25.97238721079195,-0.9889213980324852,-0.9889213980324852,-0.9889213980324852,0.0,0.0,0.0,206.9014365802815
2025-02-17,146.55962120602706,234.8517342924191,251.7148265499076,146.55962120602706,146.55962120602706,1.2633122400655474,1.2633122400655474,1.2633122400655474,86.08208259867553,86.08208259867553,86.08208259867553,96.50169471997822,96.50169471997822,96.50169471997822,87.34539483874109,87.34539483874109,87.34539483874109,10.517426291467572,10.517426291467572,10.517426291467572,-1.361126410230427,-1.361126410230427,-1.361126410230427,0.0,0.0,0.0,243.06131592600528
