Date,Close
,NVDA
2018-01-02,4.929880142211914
2018-01-03,5.254335403442383
2018-01-04,5.282032489776611
2018-01-05,5.3267951011657715
2018-01-08,5.490011692047119
2018-01-09,5.488527297973633
2018-01-10,5.531556129455566
2018-01-11,5.54144811630249
2018-01-12,5.5142436027526855
2018-01-16,5.443271636962891
2018-01-17,5.557275772094727
2018-01-18,5.550350666046143
2018-01-19,5.690569877624512
2018-01-22,5.779102325439453
2018-01-23,5.908191204071045
2018-01-24,5.8312811851501465
2018-01-25,5.844883918762207
2018-01-26,6.017496585845947
2018-01-29,6.1045451164245605
2018-01-30,6.002412796020508
2018-01-31,6.078577995300293
2018-02-01,5.947511672973633
2018-02-02,5.774898052215576
2018-02-05,5.284754276275635
2018-02-06,5.578543186187744
2018-02-07,5.658173084259033
2018-02-08,5.379221439361572
2018-02-09,5.739286422729492
2018-02-12,5.639130592346191
2018-02-13,5.7528886795043945
2018-02-14,5.970263957977295
2018-02-15,6.095890045166016
2018-02-16,6.03010892868042
2018-02-20,6.159692764282227
2018-02-21,5.972487926483154
2018-02-22,5.992035865783691
2018-02-23,6.085574626922607
2018-02-26,6.101658344268799
2018-02-27,6.088790416717529
2018-02-28,5.988325595855713
2018-03-01,5.746069431304932
2018-03-02,5.853216171264648
2018-03-05,5.8311944007873535
2018-03-06,5.992284774780273
2018-03-07,5.984366416931152
2018-03-08,5.968033790588379
2018-03-09,6.070725917816162
2018-03-12,6.180347442626953
2018-03-13,6.129619598388672
2018-03-14,6.155108451843262
2018-03-15,6.169954299926758
2018-03-16,6.198163986206055
2018-03-19,5.963580131530762
2018-03-20,6.175893306732178
2018-03-21,6.1506547927856445
2018-03-22,5.984612464904785
2018-03-23,5.764876842498779
2018-03-26,6.049693584442139
2018-03-27,5.5805253982543945
2018-03-28,5.47733736038208
2018-03-29,5.7307281494140625
2018-04-02,5.46991491317749
2018-04-03,5.576319217681885
2018-04-04,5.598340034484863
2018-04-05,5.478081226348877
2018-04-06,5.301648139953613
2018-04-09,5.330351829528809
2018-04-10,5.639666557312012
2018-04-11,5.598340034484863
2018-04-12,5.805211067199707
2018-04-13,5.728501796722412
2018-04-16,5.728254318237305
2018-04-17,5.877961158752441
2018-04-18,5.849011421203613
2018-04-19,5.667627811431885
2018-04-20,5.659462928771973
