ds,y,Volume,Volume_Avg,SMA
2018-11-07,31.449277877807617,26017800,23816952.0,28.99128994464874
2018-11-08,31.618087768554688,17884200,23715219.0,28.99128994464874
2018-11-09,31.823089599609375,25351200,23729733.0,28.99128994464874
2018-11-12,31.31361961364746,26829300,23755266.0,28.99128994464874
2018-11-13,31.03323745727539,23870100,23669577.0,28.99128994464874
2018-11-14,30.60817527770996,31445700,23505849.0,28.99128994464874
2018-11-15,30.00824546813965,48247800,23684541.0,28.99128994464874
2018-11-16,29.450525283813477,42705600,23802606.0,28.99128994464874
2018-11-19,29.176193237304688,27643200,23825028.0,28.99128994464874
2018-11-20,28.386348724365234,37861800,23955978.0,28.99128994464874
2018-11-21,28.38935661315918,28052700,23992752.0,28.99128994464874
2018-11-23,28.669727325439453,14670000,24007566.0,28.99128994464874
2018-11-26,28.68480110168457,30103800,24147579.0,28.99128994464874
2018-11-27,28.65163803100586,27126900,24250437.0,28.99128994464874
2018-11-28,29.381189346313477,30212400,24355299.0,28.99128994464874
2018-11-29,29.329944610595703,18723900,24361086.0,28.99128994464874
2018-11-30,29.438474655151367,31992000,24513129.0,28.99128994464874
2018-12-03,29.770090103149414,27246300,24638934.0,28.99128994464874
2018-12-04,28.883766174316406,31278900,24760065.0,28.99128994464874
2018-12-06,28.726150512695312,31101600,24937665.0,28.99128994464874
2018-12-07,28.24722671508789,25489500,25015215.0,28.99128994464874
2018-12-10,28.474565505981445,21830700,25082157.0,28.99128994464874
2018-12-11,28.44728660583496,19357500,25129239.0,28.99128994464874
2018-12-12,28.222980499267578,28917600,25273962.0,28.99128994464874
2018-12-13,28.17751121520996,24126900,25390731.0,28.99128994464874
2018-12-14,27.84105682373047,34480800,25567854.0,28.99128994464874
2018-12-17,27.513689041137695,27005400,25663635.0,28.99128994464874
2018-12-18,27.60765838623047,28820100,25755387.0,28.99128994464874
2018-12-19,27.447004318237305,36694500,25981950.0,28.99128994464874
2018-12-20,26.455821990966797,49121400,26292843.0,28.99128994464874
2018-12-21,26.41035270690918,44764500,26539245.0,28.99128994464874
2018-12-24,26.01327896118164,18330900,26571054.0,28.99128994464874
2018-12-26,27.40456771850586,30084900,26742720.0,28.99128994464874
2018-12-27,27.762245178222656,29644500,26866749.0,28.99128994464874
2018-12-28,27.92592430114746,29622000,27023421.0,28.99128994464874
2018-12-31,28.2351016998291,21017400,27097794.0,28.99128994464874
2019-01-02,28.292695999145508,24458100,27191142.0,28.99128994464874
2019-01-03,28.147201538085938,24831900,27297624.0,28.99128994464874
2019-01-04,28.323009490966797,24087300,27291150.0,28.99128994464874
2019-01-07,28.65643310546875,23369100,27348465.0,28.99128994464874
2019-01-08,28.856489181518555,21602700,27389388.0,28.99128994464874
2019-01-09,28.762523651123047,18816900,27319050.0,28.99128994464874
2019-01-10,28.78374481201172,28188900,26322000.0,28.99128994464874
2019-01-11,28.747360229492188,16183800,25989939.0,28.99128994464874
2019-01-14,28.780712127685547,21255300,25822113.0,28.99128994464874
2019-01-15,29.174758911132812,21174600,25717920.0,28.99128994464874
2019-01-16,29.20507049560547,16230000,25647249.0,28.99128994464874
2019-01-17,29.323286056518555,16843500,25632792.0,28.99128994464874
2019-01-18,29.623367309570312,18361800,25558581.0,28.99128994464874
2019-01-22,29.550617218017578,24189600,25589268.0,28.99128994464874
2019-01-23,29.920419692993164,25037400,25540152.0,28.99128994464874
2019-01-24,29.8143310546875,22829100,25532559.0,28.99128994464874
2019-01-25,29.3839054107666,21654600,25537344.0,28.99128994464874
2019-01-28,29.420276641845703,17627400,25523877.0,28.99128994464874
2019-01-29,29.31419563293457,15760200,25433058.0,28.99128994464874
2019-01-30,28.735240936279297,35547900,25504299.0,28.99128994464874
2019-01-31,29.04745101928711,44169000,25761465.0,28.99128994464874
2019-02-01,28.450315475463867,37775700,25939050.0,28.99128994464874
2019-02-04,28.726150512695312,21805800,25907130.0,28.99128994464874
2019-02-05,28.977733612060547,18299700,25896222.0,28.99128994464874
2019-02-06,28.9898624420166,12794700,25847169.0,28.99128994464874
2019-02-07,29.32025146484375,21030300,25827885.0,28.99128994464874
2019-02-08,28.9716739654541,18507600,25823379.0,28.99128994464874
2019-02-11,29.15960121154785,16628400,25829769.0,28.99128994464874
2019-02-12,29.39299964904785,17643900,25803414.0,28.99128994464874
2019-02-13,29.687023162841797,16375500,25796916.0,28.99128994464874
