ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,SMA,SMA_lower,SMA_upper,Volume_Avg,Volume_Avg_lower,Volume_Avg_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,yhat_smooth
2025-02-05,742.2169783851642,444.03672040161666,469.4451016449763,742.2169783851642,742.2169783851642,-273.7613480845366,-273.7613480845366,-273.7613480845366,9.06509488212886,9.06509488212886,9.06509488212886,-285.9101421460816,-285.9101421460816,-285.9101421460816,-264.6962532024078,-264.6962532024078,-264.6962532024078,-23.740307297708107,-23.740307297708107,-23.740307297708107,2.526418354034291,2.526418354034291,2.526418354034291,0.0,0.0,0.0,456.3068362390826,450.28097946125337
2025-02-06,742.7645914397401,443.9505701425631,470.276882748745,742.7645914397401,742.7645914397401,-273.7613480845366,-273.7613480845366,-273.7613480845366,9.06509488212886,9.06509488212886,9.06509488212886,-285.57762242328744,-285.57762242328744,-285.57762242328744,-264.6962532024078,-264.6962532024078,-264.6962532024078,-23.831031526812225,-23.831031526812225,-23.831031526812225,2.9496623059325695,2.9496623059325695,2.9496623059325695,0.0,0.0,0.0,457.1869690164527,451.575421170371
2025-02-07,743.3122044943157,444.95349643971554,471.06305574290195,743.3122044943157,743.3122044943157,-273.7613480845366,-273.7613480845366,-273.7613480845366,9.06509488212886,9.06509488212886,9.06509488212886,-285.11612948728543,-285.11612948728543,-285.11612948728543,-264.6962532024078,-264.6962532024078,-264.6962532024078,-23.723293974328673,-23.723293974328673,-23.723293974328673,3.303417689451068,3.303417689451068,3.303417689451068,0.0,0.0,0.0,458.19607500703023,452.8784492079979
2025-02-08,743.8598175488911,529.3745622195689,554.9174413848375,743.8598175488911,743.8598175488911,-273.7613480845366,-273.7613480845366,-273.7613480845366,9.06509488212886,9.06509488212886,9.06509488212886,-201.1808983624659,-201.1808983624659,-201.1808983624659,-264.6962532024078,-264.6962532024078,-264.6962532024078,59.93147932775424,59.93147932775424,59.93147932775424,3.5838755121876322,3.5838755121876322,3.5838755121876322,0.0,0.0,0.0,542.6789191864252,462.35460036158565
2025-02-09,744.4074306034669,530.5142873270285,556.9378317315698,744.4074306034669,744.4074306034669,-273.7613480845366,-273.7613480845366,-273.7613480845366,9.06509488212886,9.06509488212886,9.06509488212886,-200.97642851868417,-200.97642851868417,-200.97642851868417,-264.6962532024078,-264.6962532024078,-264.6962532024078,59.93149675442682,59.93149675442682,59.93149675442682,3.7883279292967917,3.7883279292967917,3.7883279292967917,0.0,0.0,0.0,543.4310020847827,471.8252488218926
2025-02-10,744.9550436580423,447.1998385649261,473.1645876799075,744.9550436580423,744.9550436580423,-273.7613480845366,-273.7613480845366,-273.7613480845366,9.06509488212886,9.06509488212886,9.06509488212886,-285.0534921416519,-285.0534921416519,-285.0534921416519,-264.6962532024078,-264.6962532024078,-264.6962532024078,-24.27245896696444,-24.27245896696444,-24.27245896696444,3.915220027720368,3.915220027720368,3.915220027720368,0.0,0.0,0.0,459.90155151639044,472.8113655383663
2025-02-11,745.5026567126179,447.3857681307861,472.90523961514936,745.5026567126179,745.5026567126179,-273.7613480845366,-273.7613480845366,-273.7613480845366,9.06509488212886,9.06509488212886,9.06509488212886,-285.0279558292598,-285.0279558292598,-285.0279558292598,-264.6962532024078,-264.6962532024078,-264.6962532024078,-24.295884316585873,-24.295884316585873,-24.295884316585873,3.9641816897339064,3.9641816897339064,3.9641816897339064,0.0,0.0,0.0,460.4747008833581,473.81499481363505
2025-02-12,746.0502697671933,448.45064747810426,475.22762124358707,746.0502697671933,746.0502697671933,-273.7613480845366,-273.7613480845366,-273.7613480845366,9.06509488212886,9.06509488212886,9.06509488212886,-284.5005217410515,-284.5005217410515,-284.5005217410515,-264.6962532024078,-264.6962532024078,-264.6962532024078,-23.740307297707748,-23.740307297707748,-23.740307297707748,3.9360387590640644,3.9360387590640644,3.9360387590640644,0.0,0.0,0.0,461.5497480261418,474.83726211255237
2025-02-13,746.5978828217693,448.9332633780391,475.27405558105795,746.5978828217693,746.5978828217693,-273.7613480845366,-273.7613480845366,-273.7613480845366,9.06509488212886,9.06509488212886,9.06509488212886,-284.694481587601,-284.694481587601,-284.694481587601,-264.6962532024078,-264.6962532024078,-264.6962532024078,-23.83103152680238,-23.83103152680238,-23.83103152680238,3.832803141609182,3.832803141609182,3.832803141609182,0.0,0.0,0.0,461.9034012341683,475.63449564395785
2025-02-14,747.1454958763447,449.2558720672328,475.670888411048,747.1454958763447,747.1454958763447,-273.7613480845366,-273.7613480845366,-273.7613480845366,9.06509488212886,9.06509488212886,9.06509488212886,-284.76190528396063,-284.76190528396063,-284.76190528396063,-264.6962532024078,-264.6962532024078,-264.6962532024078,-23.72329397427006,-23.72329397427006,-23.72329397427006,3.6576418927171783,3.6576418927171783,3.6576418927171783,0.0,0.0,0.0,462.3835905923841,476.4012793786216
2025-02-15,747.6931089309203,532.3300519984648,559.7810485927531,747.6931089309203,747.6931089309203,-273.7613480845366,-273.7613480845366,-273.7613480845366,9.06509488212886,9.06509488212886,9.06509488212886,-201.34994810961277,-201.34994810961277,-201.34994810961277,-264.6962532024078,-264.6962532024078,-264.6962532024078,59.93147932785543,59.93147932785543,59.93147932785543,3.4148257649395592,3.4148257649395592,3.4148257649395592,0.0,0.0,0.0,546.3431608213075,485.40491183684406
2025-02-16,748.240721985496,534.6364449790585,559.5807023769071,748.240721985496,748.240721985496,-273.7613480845366,-273.7613480845366,-273.7613480845366,9.06509488212886,9.06509488212886,9.06509488212886,-201.655098343115,-201.655098343115,-201.655098343115,-264.6962532024078,-264.6962532024078,-264.6962532024078,59.931496754564826,59.931496754564826,59.931496754564826,3.109658104727981,3.109658104727981,3.109658104727981,0.0,0.0,0.0,546.5856236423809,494.34477729943694
2025-02-17,748.7883350400715,449.2617490454846,475.31493015569725,748.7883350400715,748.7883350400715,-273.7613480845366,-273.7613480845366,-273.7613480845366,9.06509488212886,9.06509488212886,9.06509488212886,-286.22032678485846,-286.22032678485846,-286.22032678485846,-264.6962532024078,-264.6962532024078,-264.6962532024078,-24.272458967023148,-24.272458967023148,-24.272458967023148,2.748385384572465,2.748385384572465,2.748385384572465,0.0,0.0,0.0,462.56800825521304,494.78197062425517
2025-02-18,749.335948094647,449.5199260499946,475.87207513957594,749.335948094647,749.335948094647,-273.7613480845366,-273.7613480845366,-273.7613480845366,9.06509488212886,9.06509488212886,9.06509488212886,-286.6540464893884,-286.6540464893884,-286.6540464893884,-264.6962532024078,-264.6962532024078,-264.6962532024078,-24.29588431659488,-24.29588431659488,-24.29588431659488,2.3380910296142456,2.3380910296142456,2.3380910296142456,0.0,0.0,0.0,462.68190160525864,486.78226886613857
