ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Volume_Avg,Volume_Avg_lower,Volume_Avg_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,yhat_smooth
2025-02-05,231.81520818167027,229.4462085415375,247.88761289423536,231.81520818167027,231.81520818167027,4.445783528903086,4.445783528903086,4.445783528903086,6.584288125962466,6.584288125962466,6.584288125962466,4.445783528903086,4.445783528903086,4.445783528903086,1.2325718179321261,1.2325718179321261,1.2325718179321261,0.9059327791272552,0.9059327791272552,0.9059327791272552,0.0,0.0,0.0,238.39949630763275,236.70470534455566
2025-02-06,231.94342180037918,228.95171975037476,247.7303056604075,231.94342180037918,231.94342180037918,4.445783528903086,4.445783528903086,4.445783528903086,6.518303277528234,6.518303277528234,6.518303277528234,4.445783528903086,4.445783528903086,4.445783528903086,1.1298503724783717,1.1298503724783717,1.1298503724783717,0.942669376146777,0.942669376146777,0.942669376146777,0.0,0.0,0.0,238.46172507790743,237.08642087694147
2025-02-07,232.07163541908798,229.25474768610496,248.05756981802585,232.07163541908798,232.07163541908798,4.445783528903086,4.445783528903086,4.445783528903086,6.55977439137374,6.55977439137374,6.55977439137374,4.445783528903086,4.445783528903086,4.445783528903086,1.1705594158183839,1.1705594158183839,1.1705594158183839,0.9434314466522695,0.9434314466522695,0.9434314466522695,0.0,0.0,0.0,238.63140981046172,237.45270724421454
2025-02-08,232.1998490377968,225.26275275630127,243.79151402812656,232.1998490377968,232.1998490377968,4.445783528903086,4.445783528903086,4.445783528903086,2.2853713552460393,2.2853713552460393,2.2853713552460393,4.445783528903086,4.445783528903086,4.445783528903086,-3.0665674323309116,-3.0665674323309116,-3.0665674323309116,0.9061552586738648,0.9061552586738648,0.9061552586738648,0.0,0.0,0.0,234.48522039304285,237.30029055998165
2025-02-09,232.32806265650567,225.20657405564984,243.32941640813976,232.32806265650567,232.32806265650567,4.445783528903086,4.445783528903086,4.445783528903086,2.208544914383111,2.208544914383111,2.208544914383111,4.445783528903086,4.445783528903086,4.445783528903086,-3.066568120877534,-3.066568120877534,-3.066568120877534,0.8293295063575599,0.8293295063575599,0.8293295063575599,0.0,0.0,0.0,234.53660757088878,237.12350314575298
2025-02-10,232.45627627521446,229.18847742041393,248.25069957238048,232.45627627521446,232.45627627521446,4.445783528903086,4.445783528903086,4.445783528903086,6.463287865312362,6.463287865312362,6.463287865312362,4.445783528903086,4.445783528903086,4.445783528903086,1.3054806151025409,1.3054806151025409,1.3054806151025409,0.7120237213067356,0.7120237213067356,0.7120237213067356,0.0,0.0,0.0,238.91956414052683,237.3586318472273
2025-02-11,232.5844898939233,229.46883080504887,247.47965080224694,232.5844898939233,232.5844898939233,4.445783528903086,4.445783528903086,4.445783528903086,6.294364731426523,6.294364731426523,6.294364731426523,4.445783528903086,4.445783528903086,4.445783528903086,1.2946733318884067,1.2946733318884067,1.2946733318884067,0.5539078706350308,0.5539078706350308,0.5539078706350308,0.0,0.0,0.0,238.87885462534982,237.56941017436998
2025-02-12,232.71270351263215,229.06449074568923,247.84374135337785,232.71270351263215,232.71270351263215,4.445783528903086,4.445783528903086,4.445783528903086,6.0336180299699596,6.0336180299699596,6.0336180299699596,4.445783528903086,4.445783528903086,4.445783528903086,1.2325718179320222,1.2325718179320222,1.2325718179320222,0.35526268313485226,0.35526268313485226,0.35526268313485226,0.0,0.0,0.0,238.74632154260212,237.7362179062415
2025-02-13,232.840917131341,228.9951132437308,248.83502572328288,232.840917131341,232.840917131341,4.445783528903086,4.445783528903086,4.445783528903086,5.6926142901172145,5.6926142901172145,5.6926142901172145,4.445783528903086,4.445783528903086,4.445783528903086,1.1298503724777713,1.1298503724777713,1.1298503724777713,0.11698038873635802,0.11698038873635802,0.11698038873635802,0.0,0.0,0.0,238.5335314214582,237.78559834930792
2025-02-14,232.96913075004983,229.3705017524002,248.09644464960155,232.96913075004983,232.96913075004983,4.445783528903086,4.445783528903086,4.445783528903086,5.456898654799472,5.456898654799472,5.456898654799472,4.445783528903086,4.445783528903086,4.445783528903086,1.1705594158153976,1.1705594158153976,1.1705594158153976,-0.15944428991901147,-0.15944428991901147,-0.15944428991901147,0.0,0.0,0.0,238.4260294048493,237.801876029472
