Train MAE,Test MAE,Test MSE,Test RMSE,Test R²,Model,Normalized MAE,Normalized RMSE,Normalized R²,Overfitting Penalty,Golden Score
0.23707077276069616,0.29197932455963505,0.1979681513221315,0.4447527894540496,0.8511010268028005,CatBoost,0.0,0.0,1.0,0.0,1.0
0.19207337021579138,0.308448969646098,0.21885896441974087,0.4677161770895249,0.835375042712313,XGBoost,0.02657981199362547,0.023603725570177925,0.9914170266128395,0.0,0.9797120655153484
0.2710975217798067,0.3106413831067275,0.21757776358436684,0.46636895415625823,0.8363535712188745,LightGBM,0.030118075100686814,0.022218935098342163,0.9919510907503885,0.0,0.9788724166553391
0.27378238901165597,0.31317545256946183,0.21975093084275069,0.46869517314111714,0.8347244142156469,Hist Gradient Boosting,0.03420772545712508,0.024610021091678924,0.9910619246974566,0.0,0.9762524808988832
0.3560771721427555,0.3672144372205604,0.2874394269864459,0.5356991794996133,0.7839176459612206,MLP Regressor (Neural Net),0.12141944403466748,0.09348244546103168,0.9633324587825602,0.0,0.9123872263825915
0.3552336558737331,0.37290003021971907,0.2884325733313854,0.5369725094934936,0.7830896398791272,Gradient Boosting,0.13059523332439077,0.09479128247641155,0.9628805472121222,0.0,0.9081886860909569
0.38334645545288176,0.39273940434820165,0.3471193230251124,0.5890119030138627,0.7389434320506977,SVR (RBF Kernel),0.1626133388535556,0.14828180325635498,0.938786301360464,0.0,0.8721060138898105
0.3553507682655039,0.4379212752906977,0.41506095288026373,0.6442159281189175,0.6877639283262589,K-Nearest Neighbors,0.23553085643618282,0.20502520190612294,0.9108534027954289,0.0,0.8175361176923187
2.525714349122052e-15,0.324047167514535,0.24464674475626658,0.49445173054619207,0.8160334581194256,Extra Trees,0.05175322432921964,0.051084804441271614,0.9808607202557267,0.15,0.8082314850126486
0.12200088425387634,0.328977920150194,0.25453907819752264,0.5043126781236276,0.8085895546604404,Random Forest,0.05971080188203598,0.06122072620397023,0.976797964951039,0.15,0.800788850871306
0.5315651425459913,0.530371950079678,0.5206807987028947,0.7215346479774325,0.6083964043934799,Linear Regression,0.38473392314917904,0.28449996729999116,0.8675359644844028,0.0,0.7210172298956519
0.5315612651342374,0.5303724353872478,0.520690769177382,0.7215415635878507,0.6083889148171003,Ridge Regression,0.38473470637091195,0.28450707575337153,0.8675318768015986,0.0,0.7210135577661034
0.5315583985903485,0.5303730085185976,0.5206984826603517,0.7215469141685458,0.6083831203385736,Bayesian Ridge,0.38473563132852,0.28451257553591114,0.8675287142742361,0.0,0.7210105890900895
3.737320530569567e-17,0.45939183139534884,0.5180027650874031,0.7195763816354196,0.6104095781614902,Decision Tree,0.27018147226088457,0.28248709437096475,0.8686347203253817,0.15,0.6177716988819711
1.8654328727713384e-17,0.5046585038759689,0.6018940845385271,0.7757801099433578,0.5472344376964381,Extra Tree,0.3432358482231717,0.3402580731159288,0.8341548082116677,0.15,0.560874681239453
0.460497831167876,0.4765100471571634,1.3327695941366307,1.1028970969513214,-0.00545326740715395,Polynomial Regression (Degree 2),0.2978079908790258,0.6764967724422977,0.5325073032275823,0.0,0.537679962883975
0.7347833255462046,0.7413797894927555,0.7498883420842468,0.8657708914179011,0.4358333757472563,AdaBoost,0.7252724515349906,0.43275826269986906,0.7733540122481501,0.0,0.512069744250488
0.8115135041350499,0.8117997772699865,1.0580197670571885,1.0285639462177396,0.2042125288640563,ElasticNet,0.8389209257969326,0.6000908292716303,0.6469393120124672,0.0,0.3784861745034781
0.5093782420641604,0.5189096356838445,2.6586756109597314,1.4176241087379988,-0.9811292949190757,SVR (Linear Kernel),0.3662352754822967,1.0,0.0,0.0,0.2535058898070814
0.9119381433743072,0.9116091808736236,1.3296773426799207,1.1530815159613903,-0.0001351984091167324,Lasso Regression,1.0000000000000002,0.7280805924350646,0.535409814410259,0.0,0.24219876659255823
